CEG,lat_base,lon_base,lat_era5,lon_era5,cell_key
EOLCVBA054950-9-01,-12.08927727899993,-41.52410162799998,-12.0,-41.5,latm12p00_lonm41p50
EOLCVBA054951-7-01,-12.035767393999947,-41.50414777799995,-12.0,-41.5,latm12p00_lonm41p50
EOLCVBA032533-3-01,-12.030740316999982,-41.52382425999997,-12.0,-41.5,latm12p00_lonm41p50
EOLCVRN038066-0-01,-5.3779589939999255,-36.315852879999966,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN038065-2-01,-5.3690173009999285,-36.31279946499996,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN038064-4-01,-5.360665773999926,-36.30831895099993,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN032198-2-01,-5.352996613999949,-36.30077911999996,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072310-0-01,-5.339068979999979,-36.318826687999945,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN033545-2-01,-5.341518884999971,-36.28819839699997,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072299-5-01,-5.331341305999956,-36.29995436099995,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072309-6-01,-5.330010758999947,-36.315971985999965,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN033544-4-01,-5.332348005999961,-36.284371042999965,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072300-2-01,-5.321582625999952,-36.29808570399996,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072308-8-01,-5.320950635999964,-36.31267555299996,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN033543-6-01,-5.323100607999947,-36.27957943999997,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072307-0-01,-5.311465866999981,-36.30939001799993,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072306-1-01,-5.300765358999968,-36.30913890899996,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072305-3-01,-5.291255301999968,-36.30625917699996,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072304-5-01,-5.297305980999965,-36.32201863199998,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072302-9-01,-5.282293519999939,-36.30269195999995,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072303-7-01,-5.287394897999945,-36.32044757999995,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072327-4-01,-5.424557365999931,-36.27461149499993,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN072328-2-01,-5.420891851999954,-36.26732439899996,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN072329-0-01,-5.41463867799996,-36.25732609099998,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN072330-4-01,-5.401730651999969,-36.26038668999996,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN072317-7-01,-5.3963290459999484,-36.34428331299995,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN072316-9-01,-5.386369701999968,-36.34412825199996,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN072314-2-01,-5.373677370999928,-36.33894471899998,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072315-0-01,-5.376530185999968,-36.340365960999975,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN072313-4-01,-5.361323738999943,-36.33474259999997,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072318-5-01,-5.36343239699994,-36.35625564699996,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072312-6-01,-5.355596177999928,-36.33100768099996,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072319-3-01,-5.354130576999978,-36.353527647999954,-5.25,-36.25,latm5p25_lonm36p25
