fase,config_key,L,H,W,modelo,horizonte,RMSE,MAE,MAPE,cutoff_date
Fase2,L12_H12_W48,12,12,48,Ensemble,6.0,919.5680363821639,919.5680363821639,15.654031409385919,2018-12-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,7.0,1797.2792364166235,1797.2792364166235,26.485136832989433,2018-12-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,8.0,3425.3300513770528,3425.3300513770528,41.88237257197754,2018-12-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,9.0,3089.5095163354226,3089.5095163354226,39.27797558059572,2018-12-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,10.0,1890.5642832596059,1890.5642832596059,29.7072522167938,2018-12-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,11.0,1183.194146740162,1183.194146740162,19.623581137249456,2018-12-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,12.0,2019.9851659086207,2019.9851659086207,32.16704703920285,2018-12-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,1.0,358.69911754998566,358.69911754998566,11.620155438126673,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,2.0,390.6915617888708,390.6915617888708,17.14852686402812,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,3.0,348.1309432757639,348.1309432757639,10.519521443495652,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,4.0,293.3548084855174,293.3548084855174,6.957439648905638,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,5.0,1865.5794296407357,1865.5794296407357,31.75821454516445,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,6.0,2503.658877937164,2503.658877937164,36.89451623416154,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,7.0,5121.845572262022,5121.845572262022,62.62609479847703,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,8.0,4610.318711584916,4610.318711584916,58.61253536036557,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,9.0,2466.2071884101133,2466.2071884101133,38.75257753132362,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,10.0,2874.5190415138886,2874.5190415138886,47.67464223612663,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,11.0,2902.8481535584942,2902.8481535584942,46.22610832945262,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,12.0,2916.089573312601,2916.089573312601,45.98047858602386,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,1.0,425.00917614373566,425.00917614373566,13.768287815015743,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,2.0,1339.5504485076208,1339.5504485076208,58.79655231552589,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,3.0,374.1568221820139,374.1568221820139,11.305949069445722,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,4.0,486.8950916886424,486.8950916886424,11.547597372822151,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,5.0,2096.0691757344857,2096.0691757344857,35.68189782050772,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,6.0,2968.315127937164,2968.315127937164,43.74180190474557,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,7.0,4329.079703121397,4329.079703121397,52.93274700551122,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,8.0,3996.927354163041,3996.927354163041,50.81428433353521,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,9.0,2488.1149032538633,2488.1149032538633,39.09682290616735,2019-01-01 00:00:00
