,N,RMSE,MAE,Bias,MAPE_%,R2,Pearson_r,ErroMax_abs,ErroMin_abs,DesvPad_erro
Ensemble_LOO,16.0,1193.5430969652161,1007.7471846196188,-279.1274391588543,9.65928117375925,0.8068550187170935,0.9041907147259389,2571.0496021542194,62.60413441173114,1198.502620004118
NEWAVE_deck_2025_01,16.0,1694.6652456687784,1416.5230302922437,920.3156858411455,14.199272303157068,0.6106187246837271,0.8680404584349511,3375.969735122664,54.53700278091674,1469.6609434913396
