Bucket,Modelo,N,RMSE,MAE,Bias
1-3m,Ensemble_LOO,3,1733.970483684229,1587.9189817418044,126.11408636100866
1-3m,NEWAVE,3,1644.8593882423345,1437.7656484084707,187.04741969434235
4-6m,Ensemble_LOO,3,1392.9762992596063,1323.3545731619706,-815.9615435299893
4-6m,NEWAVE,3,1032.9503467125517,869.7060648284054,-526.0148768633231
7-12m,Ensemble_LOO,6,728.0656168424167,607.352252756377,-76.17507534749832
7-12m,NEWAVE,6,1688.510810691565,1600.0765913191683,1600.0765913191683
13-+m,Ensemble_LOO,4,1092.1463854130325,936.5051931660782,-484.8615507374343
13-+m,NEWAVE,4,2093.2143758774832,1535.3734492625654,1535.3734492625654
