Modelo,N,RMSE,MAE,Bias,MAPE
Ensemble_Otimizado_LOO,16,1221.1483573855921,1028.3788181265481,-285.6776494602528,9.867445954663607
Sazonal_Naive,16,1620.7953035542996,1382.4578986581737,-66.81946786823437,13.498950008709897
Regressao_Linear,16,1720.641690590946,1343.3134456926666,-669.1042134538397,12.481395491078832
Integrado_Fase2,16,1741.6425358298413,1397.0663275257994,-499.49476283513667,13.40366444684426
Persistencia_Sazonal,16,1897.4005174972133,1531.347898924132,-1110.7272088996403,14.346127958309049
SARIMAX,16,2250.6912315237746,1936.8785513522312,-1742.3806103239606,16.674174321487378
