data,Sazonal_Naive,Integrado_Fase2,Persistencia_Sazonal,Regressao_Linear,SARIMAX,real,Ensemble_Otimizado_LOO
2025-01-01,9172.39399943176,9863.167053571782,6615.804370435247,8451.428572149,7073.327537252664,7096.7803978457805,9513.929397248721
2025-02-01,8475.048668422132,10370.33991068158,8322.473395309265,7394.445093330759,8228.938816367148,10366.522114579808,9412.127850252626
2025-03-01,7535.911175920969,11558.53480724406,6452.733811121063,7288.800309718951,6846.537112208519,10701.555228491385,9524.7964602525
2025-04-01,8246.357274235748,12754.820757924654,7401.878906158101,8202.275014799741,7117.3966567905945,9550.020455552029,10475.453878708697
2025-05-01,10526.243123659357,13029.653010442968,10872.62389433871,9922.967836127873,9753.011327123253,13435.560956985564,11763.99130514566
2025-06-01,12715.666413132198,12357.05432625246,12327.168240288334,11969.409482052331,11192.689656448872,13893.463218052377,12538.359668144987
2025-07-01,14561.211963560589,14014.032381732744,13747.552349931471,13895.60777615273,12495.360294483098,14195.32284408246,14290.672753849305
2025-08-01,15997.557112386125,14353.826665881235,14523.8786589347,15188.134277862548,12820.803431286402,14398.22463171719,15184.855851695225
2025-09-01,16198.159425183829,13507.9981196753,14933.232402239792,15454.48699082439,13062.68800975809,15880.440722218444,14868.076692277446
2025-10-01,14962.72133898187,11656.299986842898,13037.778684940571,14665.895586543564,11995.683922592187,14500.941262093183,13327.944294502118
2025-11-01,12945.229401258532,10598.544294164592,12252.229702522709,13034.279686915905,10759.683466521685,11375.155126385444,11784.969853207309
2025-12-01,12054.618098390132,9751.970344095507,11264.908617972935,11016.93303756097,10193.866301317259,10764.455865588268,10916.131714067542
2026-01-01,10023.527604728595,7948.9554829576255,7229.704452147389,9125.73908190613,7644.771642671926,10612.600490587944,8997.807492077238
2026-02-01,9255.438974461167,6868.918911521559,9088.81442933383,7964.632019628299,8751.469205066536,7227.030264877336,8075.4840323724475
2026-03-01,8224.540697738994,7009.927213537188,7042.38287877057,7843.370676022909,7439.957038302342,7408.412450265376,7624.005547975292
2026-04-01,8994.212269157924,7778.261378379045,8073.148889702738,8833.876169684136,7703.674843167724,9537.774801385764,8393.015872281865
