Data,CNN,LSTM,Informer,XGBoost,Ensemble
2025-01-01,-13250.6806640625,6874.53759765625,7556.5888671875,9024.390625,3354.8977527937523
2025-02-01,472.32135009765625,6675.14697265625,7595.17333984375,9138.376953125,6052.081137777549
2025-03-01,76591.90625,6521.912109375,7584.33203125,9005.837890625,21012.07416537584
2025-04-01,12231.78125,6396.10302734375,8102.9609375,8905.029296875,8655.640497407006
2025-05-01,-59678.890625,6291.72119140625,7916.50439453125,10493.138671875,-5643.126994639808
2025-06-01,-26189.48828125,6202.8369140625,7932.22705078125,11661.259765625,948.6929312745542
2025-07-01,-63044.859375,6127.05615234375,8142.4609375,12120.4033203125,-6184.13560688499
2025-08-01,-45330.8984375,6062.75048828125,8161.87451171875,11262.08984375,-2692.862787932234
2025-09-01,3932.285888671875,6004.373046875,8462.8212890625,11832.35546875,7195.519744490299
2025-10-01,-47471.91796875,5962.318359375,8124.95556640625,12146.212890625,-3153.838012451747
2025-11-01,75494.6953125,5940.34228515625,8405.0341796875,11483.8447265625,21241.1286300813
2025-12-01,-87313.578125,5911.3857421875,7495.77587890625,11468.2978515625,-11417.007231761516
2026-01-01,-19642.751953125,6804.396484375,8107.458984375,9499.2021484375,2443.7274087750347
2026-02-01,367.72125244140625,6706.94580078125,8105.69677734375,9151.4619140625,6368.426509114166
2026-03-01,101271.8125,6950.05029296875,8110.24853515625,10549.29296875,26279.779405058634
2026-04-01,24866.40625,7304.2783203125,7760.8115234375,10894.7255859375,11059.80565662781
2026-05-01,-86177.6015625,7599.103515625,8194.4609375,10551.9462890625,-10481.306036791262
2026-06-01,-49718.4921875,7847.04541015625,8442.103515625,11658.2060546875,-3102.400956970944
2026-07-01,-112174.7421875,8054.60888671875,7582.42236328125,12194.4599609375,-15929.61987068117
2026-08-01,-74564.5,8228.1435546875,7588.1494140625,11267.7431640625,-8492.736581854904
2026-09-01,-5106.4921875,8373.2177734375,7948.0419921875,11820.7265625,5442.049300102892
2026-10-01,-81451.1640625,8494.6953125,7522.62255859375,12152.4853515625,-9850.901378479362
2026-11-01,101441.765625,8596.748046875,7853.4228515625,11717.2568359375,26397.42570851263
2026-12-01,-128701.6953125,8682.9033203125,8118.31005859375,11511.130859375,-18739.862360176572
2027-01-01,-21196.740234375,6821.35009765625,8386.8720703125,9512.5478515625,2322.039971283625
2027-02-01,1092.70849609375,6786.77392578125,8385.6748046875,9198.5400390625,6705.503967879665
2027-03-01,104356.8359375,7118.77197265625,8393.603515625,10561.9482421875,27097.384235083413
2027-04-01,27686.193359375,7456.294921875,7354.38525390625,11649.580078125,11373.928873976714
2027-05-01,-88229.40625,7808.28125,8205.544921875,11173.2744140625,-10846.248338066544
2027-06-01,-54367.8046875,8123.32177734375,8697.978515625,11959.75,-3809.404397704334
2027-07-01,-123485.359375,8378.255859375,7768.40087890625,12195.1865234375,-17986.690949024673
2027-08-01,-78739.9921875,8582.3017578125,7774.27734375,11267.7431640625,-9139.916864612762
2027-09-01,-6520.4296875,8745.181640625,7528.42333984375,11821.15234375,4947.390622195655
2027-10-01,-88495.2421875,8864.9638671875,7733.13916015625,12155.53515625,-11044.676927418335
2027-11-01,102629.125,8958.7998046875,7544.4384765625,11712.2470703125,26485.50180329592
2027-12-01,-134939.8125,9034.955078125,8397.0810546875,11512.7451171875,-19733.298203527484
2028-01-01,-21196.740234375,6821.35009765625,8386.8720703125,9512.5478515625,2322.039971283625
2028-02-01,1092.70849609375,6786.77392578125,8385.6748046875,9198.5400390625,6705.503967879665
2028-03-01,104356.8359375,7118.77197265625,8393.603515625,10561.9482421875,27097.384235083413
2028-04-01,27686.193359375,7456.294921875,7354.38525390625,11649.580078125,11373.928873976714
2028-05-01,-88229.40625,7808.28125,8205.544921875,11173.2744140625,-10846.248338066544
2028-06-01,-54367.8046875,8123.32177734375,8697.978515625,11959.75,-3809.404397704334
2028-07-01,-123485.359375,8378.255859375,7768.40087890625,12195.1865234375,-17986.690949024673
2028-08-01,-78739.9921875,8582.3017578125,7774.27734375,11267.7431640625,-9139.916864612762
2028-09-01,-6520.4296875,8745.181640625,7528.42333984375,11821.15234375,4947.390622195655
2028-10-01,-88495.2421875,8864.9638671875,7733.13916015625,12155.53515625,-11044.676927418335
2028-11-01,102629.125,8958.7998046875,7544.4384765625,11712.2470703125,26485.50180329592
2028-12-01,-134939.8125,9034.955078125,8397.0810546875,11512.7451171875,-19733.298203527484
2029-01-01,-21196.740234375,6821.35009765625,8386.8720703125,9512.5478515625,2322.039971283625
2029-02-01,1092.70849609375,6786.77392578125,8385.6748046875,9198.5400390625,6705.503967879665
2029-03-01,104356.8359375,7118.77197265625,8393.603515625,10561.9482421875,27097.384235083413
2029-04-01,27686.193359375,7456.294921875,7354.38525390625,11649.580078125,11373.928873976714
2029-05-01,-88229.40625,7808.28125,8205.544921875,11173.2744140625,-10846.248338066544
2029-06-01,-54367.8046875,8123.32177734375,8697.978515625,11959.75,-3809.404397704334
2029-07-01,-123485.359375,8378.255859375,7768.40087890625,12195.1865234375,-17986.690949024673
2029-08-01,-78739.9921875,8582.3017578125,7774.27734375,11267.7431640625,-9139.916864612762
2029-09-01,-6520.4296875,8745.181640625,7528.42333984375,11821.15234375,4947.390622195655
2029-10-01,-88495.2421875,8864.9638671875,7733.13916015625,12155.53515625,-11044.676927418335
2029-11-01,102629.125,8958.7998046875,7544.4384765625,11712.2470703125,26485.50180329592
2029-12-01,-134939.8125,9034.955078125,8397.0810546875,11512.7451171875,-19733.298203527484
