data,fc_previsto,geracao_mwmed_previsto,capacidade_mw_usada,modelo,seed
2025-01-01,0.38605084377149224,9863.167053571782,25548.88096400561,integrado,42
2025-02-01,0.4027872708942001,10370.339910681581,25746.443991785312,integrado,42
2025-03-01,0.4455184890494164,11558.53480724406,25944.00701956502,integrado,42
2025-04-01,0.48791334012549864,12754.820757924654,26141.570047344725,integrado,42
2025-05-01,0.4946879980172397,13029.653010442968,26339.13307512443,integrado,42
2025-06-01,0.46565911138049026,12357.05432625246,26536.696102904138,integrado,42
2025-07-01,0.5241975217352609,14014.032381732744,26734.259130683848,integrado,42
2025-08-01,0.5329690126952819,14353.826665881237,26931.822158463558,integrado,42
2025-09-01,0.49791021900949384,13507.9981196753,27129.38518624326,integrado,42
2025-10-01,0.42654964233662235,11656.299986842898,27326.948214022967,integrado,42
2025-11-01,0.3850584012575715,10598.544294164592,27524.511241802677,integrado,42
2025-12-01,0.3517763587696505,9751.970344095509,27722.074269582383,integrado,42
2026-01-01,0.28470840785989227,7948.9554829576255,27919.63729736209,integrado,42
2026-02-01,0.2442959765585025,6868.918911521559,28117.200325141795,integrado,42
2026-03-01,0.24757145684616527,7009.9272135371875,28314.7633529215,integrado,42
2026-04-01,0.2728034631240691,7778.261378379045,28512.326380701208,integrado,42
2026-05-01,0.3158124777452509,9066.941309884493,28709.889408480914,integrado,42
2026-06-01,0.3855984475130749,11146.668780980151,28907.452436260624,integrado,42
2026-07-01,0.4355381576841971,12676.344814578193,29105.01546404033,integrado,42
2026-08-01,0.4491968736827519,13162.62664936901,29302.57849182004,integrado,42
2026-09-01,0.45769063477032274,13501.93849791996,29500.141519599743,integrado,42
2026-10-01,0.4328898053413563,12855.8335406002,29697.70454737945,integrado,42
2026-11-01,0.3916615711489945,11708.827468406429,29895.26757515916,integrado,42
2026-12-01,0.35857176280433467,10790.439317068018,30092.830602938862,integrado,42
2027-01-01,0.2854263247485714,8645.675729203536,30290.39363071857,integrado,42
2027-02-01,0.23052200658090718,7028.144945468754,30487.95665849828,integrado,42
2027-03-01,0.2381381116859119,7307.391714191115,30685.519686277985,integrado,42
2027-04-01,0.27096322697021047,8368.179750988998,30883.08271405769,integrado,42
2027-05-01,0.30939354560292553,9616.151185695544,31080.6457418374,integrado,42
2027-06-01,0.3721869066010894,11641.339765986857,31278.208769617107,integrado,42
2027-07-01,0.4193106349737137,13198.125858654168,31475.771797396814,integrado,42
2027-08-01,0.452466826062095,14331.13327914964,31673.33482517652,integrado,42
2027-09-01,0.4603098935053883,14670.489596615387,31870.897852956223,integrado,42
2027-10-01,0.43058666020518815,13808.251468556811,32068.460880735933,integrado,42
2027-11-01,0.38427861834651855,12399.143087100125,32266.02390851564,integrado,42
2027-12-01,0.34771092163347056,11287.943733147551,32463.58693629535,integrado,42
2028-01-01,0.27815364046302443,9084.817764216255,32661.14996407505,integrado,42
2028-02-01,0.22880688865137955,7518.29988475495,32858.71299185476,integrado,42
2028-03-01,0.23854380714038187,7885.369931606914,33056.27601963447,integrado,42
2028-04-01,0.27325851277847985,9086.894602271339,33253.83904741418,integrado,42
2028-05-01,0.3071414072203431,10274.310706868555,33451.40207519388,integrado,42
2028-06-01,0.3647718233972267,12274.194356041326,33648.96510297359,integrado,42
2028-07-01,0.4045346924975623,13692.094849484378,33846.5281307533,integrado,42
2028-08-01,0.4334348803770832,14755.896578845268,34044.091158533,integrado,42
2028-09-01,0.44000040925371764,15066.341855501865,34241.654186312706,integrado,42
2028-10-01,0.41688354572801084,14357.142984307993,34439.217214092416,integrado,42
2028-11-01,0.3759200537329732,13020.660289661755,34636.780241872126,integrado,42
2028-12-01,0.3322827325264003,11574.85076740253,34834.34326965183,integrado,42
2029-01-01,0.2709042212363052,9490.291293928905,35031.90629743153,integrado,42
2029-02-01,0.22911219987691955,8071.501217595605,35229.46932521125,integrado,42
2029-03-01,0.24020914674039476,8509.897213056316,35427.03235299095,integrado,42
2029-04-01,0.27999916271962255,9974.856878841116,35624.595380770654,integrado,42
2029-05-01,0.31195693302508387,11174.970671470093,35822.15840855037,integrado,42
2029-06-01,0.3641837987767421,13117.798983562736,36019.72143633007,integrado,42
2029-07-01,0.40041381335036114,14501.900981468985,36217.284464109776,integrado,42
2029-08-01,0.4216225019207863,15353.31910659432,36414.84749188949,integrado,42
2029-09-01,0.42293605060764466,15484.708308414676,36612.4105196692,integrado,42
2029-10-01,0.4032401404191542,14843.258902098645,36809.9735474489,integrado,42
2029-11-01,0.3650528557908109,13509.706912570087,37007.5365752286,integrado,42
2029-12-01,0.3180348546452867,11832.518444306164,37205.09960300832,integrado,42
