data,fc_previsto,geracao_mwmed_previsto,capacidade_mw_usada,modelo,seed,real_mwmed,baseline_sazonal
2025-01-01,0.39853276506962837,10182.066175019949,25548.88096400561,integrado,42,7096.7803978457805,9172.39399943176
2025-02-01,0.39632998605929864,10204.087788340787,25746.443991785312,integrado,42,10366.522114579808,8475.048668422132
2025-03-01,0.44882847770885176,11644.409176259132,25944.00701956502,integrado,42,10701.555228491385,7535.911175920969
2025-04-01,0.47641523133891456,12454.242141668177,26141.570047344725,integrado,42,9550.020455552029,8246.357274235748
2025-05-01,0.483905421683559,12745.649297497464,26339.13307512443,integrado,42,13435.560956985564,10526.243123659357
2025-06-01,0.4629766508735083,12285.870686970638,26536.696102904138,integrado,42,13893.463218052377,12715.666413132198
2025-07-01,0.5324125340049417,14233.654648512138,26734.259130683848,integrado,42,14195.32284408246,14561.211963560589
2025-08-01,0.5424105301083026,14608.10393375475,26931.822158463558,integrado,42,14398.22463171719,15997.557112386125
2025-09-01,0.5043242891786538,13682.007899906032,27129.38518624326,integrado,42,15880.440722218444,16198.159425183829
2025-10-01,0.4285616393302507,11711.281724494549,27326.948214022967,integrado,42,14500.941262093183,14962.72133898187
2025-11-01,0.38429094913803596,10577.420549672892,27524.511241802677,integrado,42,11375.155126385444,12945.229401258532
2025-12-01,0.34459605197424625,9552.917345834925,27722.074269582383,integrado,42,10764.455865588268,12054.618098390132
2026-01-01,0.2777174076792262,7753.769293567637,27919.63729736209,integrado,42,10612.600490587944,10023.527604728595
2026-02-01,0.23565511233496278,6625.962001165942,28117.200325141795,integrado,42,7227.030264877336,9255.438974461167
2026-03-01,0.2436125486454265,6897.831664697329,28314.7633529215,integrado,42,7408.412450265376,8224.540697738994
2026-04-01,0.2738029296375203,7806.758493817147,28512.326380701208,integrado,42,9551.462997219083,8994.212269157924
2026-05-01,0.32622874836556925,9365.991287442643,28709.889408480914,integrado,42,11539.25409791354,11473.698663698902
