mes,mwmed
2025-01,7096.7803978457805
2025-02,10366.522114579808
2025-03,10701.555228491385
2025-04,9550.020455552029
2025-05,13435.560956985564
2025-06,13893.463218052375
2025-07,14195.322844082459
2025-08,14398.22463171719
2025-09,15880.440722218445
2025-10,14500.941262093185
2025-11,11375.155126385444
2025-12,10764.455865588267
2026-01,10612.600490587944
2026-02,7227.030264877336
2026-03,7408.412450265376
2026-04,9551.462997219083
2026-05,11539.254097913541
