data,ano,mes,subsistema,geracao_eolica_ne_mwmed,capacidade_eolica_ne_mw,carga_ne_mwmed,demanda_sin_mwmed,demanda_max_sin_mw,corte_eolica_ne_mwmed,capacity_factor_ne,penetracao_eolica_ne,penetracao_eolica_sin,crescimento_capacidade_mw,trimestre,vel_vento_100m_lat3.7S_lon41.1W,vel_vento_100m_lat3.1S_lon39.7W,vel_vento_100m_lat5.1S_lon36.4W,vel_vento_100m_lat6.2S_lon36.4W,vel_vento_100m_lat8.9S_lon37.4W,vel_vento_100m_lat11.0S_lon38.8W,vel_vento_100m_lat10.4S_lon41.0W,vel_vento_100m_lat11.7S_lon42.0W,vel_vento_100m_lat14.1S_lon42.5W,vel_vento_100m_lat8.1S_lon41.0W,t2m_lat3.7S_lon41.1W,t2m_lat3.1S_lon39.7W,t2m_lat5.1S_lon36.4W,t2m_lat6.2S_lon36.4W,t2m_lat8.9S_lon37.4W,t2m_lat11.0S_lon38.8W,t2m_lat10.4S_lon41.0W,t2m_lat11.7S_lon42.0W,t2m_lat14.1S_lon42.5W,t2m_lat8.1S_lon41.0W,sp_lat3.7S_lon41.1W,sp_lat3.1S_lon39.7W,sp_lat5.1S_lon36.4W,sp_lat6.2S_lon36.4W,sp_lat8.9S_lon37.4W,sp_lat11.0S_lon38.8W,sp_lat10.4S_lon41.0W,sp_lat11.7S_lon42.0W,sp_lat14.1S_lon42.5W,sp_lat8.1S_lon41.0W,tp_lat3.7S_lon41.1W,tp_lat3.1S_lon39.7W,tp_lat5.1S_lon36.4W,tp_lat6.2S_lon36.4W,tp_lat8.9S_lon37.4W,tp_lat11.0S_lon38.8W,tp_lat10.4S_lon41.0W,tp_lat11.7S_lon42.0W,tp_lat14.1S_lon42.5W,tp_lat8.1S_lon41.0W,sst_lat3.7S_lon41.1W,sst_lat3.1S_lon39.7W,sst_lat5.1S_lon36.4W,sst_lat6.2S_lon36.4W,sst_lat8.9S_lon37.4W,sst_lat11.0S_lon38.8W,sst_lat10.4S_lon41.0W,sst_lat11.7S_lon42.0W,sst_lat14.1S_lon42.5W,sst_lat8.1S_lon41.0W,zust_lat3.7S_lon41.1W,zust_lat3.1S_lon39.7W,zust_lat5.1S_lon36.4W,zust_lat6.2S_lon36.4W,zust_lat8.9S_lon37.4W,zust_lat11.0S_lon38.8W,zust_lat10.4S_lon41.0W,zust_lat11.7S_lon42.0W,zust_lat14.1S_lon42.5W,zust_lat8.1S_lon41.0W,densidade_ar_lat3.7S_lon41.1W,densidade_ar_lat3.1S_lon39.7W,densidade_ar_lat5.1S_lon36.4W,densidade_ar_lat6.2S_lon36.4W,densidade_ar_lat8.9S_lon37.4W,densidade_ar_lat11.0S_lon38.8W,densidade_ar_lat10.4S_lon41.0W,densidade_ar_lat11.7S_lon42.0W,densidade_ar_lat14.1S_lon42.5W,densidade_ar_lat8.1S_lon41.0W,capacidade_cluster_mw_lat3.7S_lon41.1W,capacidade_cluster_mw_lat3.1S_lon39.7W,capacidade_cluster_mw_lat5.1S_lon36.4W,capacidade_cluster_mw_lat6.2S_lon36.4W,capacidade_cluster_mw_lat8.9S_lon37.4W,capacidade_cluster_mw_lat11.0S_lon38.8W,capacidade_cluster_mw_lat10.4S_lon41.0W,capacidade_cluster_mw_lat11.7S_lon42.0W,capacidade_cluster_mw_lat14.1S_lon42.5W,capacidade_cluster_mw_lat8.1S_lon41.0W
2022-12-01,2022,12,NE,7810.171508292635,19992.3952,11308.88266262969,68541.58788575097,86324.88299998999,1186.406331707365,39.06571188775138,69.0622738009425,11.394792197273098,288.3149999999987,4,5.121058434429243,8.17494073482745,7.439366031483862,6.076552382109453,4.448146657821981,3.99130709403678,3.1196337690503446,2.991517017180966,2.444307266948596,3.831787637646214,299.62174512386827,300.2974664567368,300.41570431473014,300.1123886042863,297.66078623714185,299.6397705078125,297.2834990461496,296.44808520984304,295.9830323379361,298.5345880990471,97515.48436136369,101023.3407971477,100774.03825929674,98305.47796300429,94028.67584827599,98368.4375,93726.11881716548,92564.04152848871,92674.99867485822,95132.13567125148,0.0014183601164743996,0.0008729822569502453,0.0008109073710753047,0.0009743157217874002,0.0009585512805249917,0.0018070752266794,0.004776262580795794,0.006323024733073829,0.010423190373900729,0.002809944653742495,301.2709676971397,301.2709676971397,301.10825832669883,301.10825832669883,301.10825832669883,301.10825832669883,301.10825832669883,301.10825832669883,301.10825832669883,301.2709676971397,0.23983037156305087,0.2892794615467082,0.30545729244436237,0.31198526728073583,0.23588326599234385,0.2032983303070068,0.1725778704828506,0.16512978302345316,0.15072858013820306,0.20211755814623564,1.1337218080768399,1.1719268791789603,1.1685783472559668,1.1410886861278482,1.1004135896561518,1.143632957753132,1.0982649063168366,1.0876753740361198,1.0907497885561122,1.11009378586247,355.21,1337.3002,5559.040000000001,1944.1100000000001,734.615,49.6,2968.8800000000006,1693.92,1745.4500000000003,3409.350000000001
2023-01-01,2023,1,NE,7946.884155269422,20445.6952,11510.283720425765,70773.50265053452,86361.07899999,1253.6786847305784,38.86825112833249,69.0416009569525,11.228615029143825,453.3000000000029,1,3.9078847122286935,6.654461334838793,7.073073554794902,6.119045483526712,4.755908183329854,4.716410215743771,4.156226990810231,4.162586477576811,3.1839123057052685,3.3849655229748845,298.6633404007145,299.7407831263257,300.21003728461324,300.05210360158407,297.93368384688534,300.392578125,297.93451193983407,297.0915640047779,296.75152920798587,298.31971431982373,97619.74645456209,101109.0676224194,100833.6825586609,98304.6480329465,94094.47173519463,98457.59375000001,93805.10792661172,92752.52903292254,92778.67594914603,95219.06740137619,0.005507886738230193,0.0037810574890586937,0.0016764132285538014,0.000800637832081731,0.0011533205929287673,0.0012045095209032002,0.0013940550691875623,0.0017436500386924674,0.004709099335457535,0.0020933249527402076,301.31858390672625,301.31858390672625,301.3526992202552,301.3526992202552,301.3526992202552,301.3526992202552,301.3526992202552,301.3526992202552,301.3526992202552,301.31858390672625,0.1925802519050207,0.23413000015692959,0.28797817261887004,0.31287101965121905,0.24698958188640396,0.23837792873382563,0.18233442692758559,0.17430161509932587,0.13685784034021176,0.1670786872214697,1.1385788433602815,1.1750994958507774,1.1700705795410433,1.1413185879036367,1.1001730529162008,1.141800857182801,1.0967861867514244,1.087530131278462,1.0891411928297199,1.1119079373467196,355.21,1337.3002,5559.040000000001,1988.1100000000001,734.615,105.4,3040.88,1902.42,1753.5500000000002,3458.850000000001
2023-02-01,2023,2,NE,9186.525100340878,21283.2952,11813.240264877084,73824.27300744035,89100.06199999,390.95773965912304,43.16307702362215,77.76465130954875,12.443773201010751,837.5999999999985,1,3.787974149667252,6.426457120210067,7.248910984692727,6.457971718705124,5.128965986751753,4.860381211686015,5.400091565966948,5.180313140678717,4.97819566552236,4.297389877027364,298.33984881721875,299.8034248099379,300.6532339295271,300.4347583169785,298.05807112845173,300.8262023925781,299.1675024645527,298.2791566218337,297.9876670925072,299.22821876042,97604.22583559727,101086.21123172504,100735.9706722311,98384.5767210147,94098.57155406235,98467.671875,93793.83631372743,92790.05217414627,92772.89676941062,95212.8964780345,0.006156140209541161,0.008172235472475111,0.0027962446686609988,0.0015747308519491103,0.0007598209398791025,0.0008658829610794,0.0007802516637538885,0.0007437032284825549,0.0002564126321403717,0.0015915782999066552,301.55106405872243,301.55106405872243,301.6671213738314,301.6671213738314,301.6671213738314,301.6671213738314,301.6671213738314,301.6671213738314,301.6671213738314,301.55106405872243,0.17906018081023745,0.22983761151717613,0.29706807972241167,0.3216208804723389,0.2606118112340226,0.251675009727478,0.23477649808150303,0.22032422796810208,0.1877224109965555,0.2022340067973525,1.1396279161478344,1.1745883143582032,1.167214215894433,1.1407835977201142,1.0997611757773382,1.1402717209782387,1.0921329834228353,1.0836331522346432,1.084557648398012,1.1084597082898544,355.21,1337.3002,5878.240000000001,2248.5099999999998,734.615,198.4,3040.88,1933.92,1753.5500000000002,3557.85
2023-03-01,2023,3,NE,7720.666684382486,21483.2952,11487.93622580211,74849.05596618871,88824.87399997,1946.8161556175144,35.93800025790497,67.20673350398421,10.314982045825822,200.0,1,2.524300362230745,4.1614497648526525,5.316528569690644,5.0145379305617235,4.394057025567937,4.35728744413526,5.2058858606155844,5.098222991639712,5.284559777726843,4.157865974285975,297.82298880852255,299.5591238779928,299.93128724496523,299.33770362145225,297.82507295201464,299.84225463867193,298.45152278188715,297.75640910909317,298.1520470024688,298.58700081245547,97645.78138284395,101123.64235828462,100767.83938787776,98358.2389337677,94108.55750843979,98499.78125000003,93830.21628710277,92930.42961877142,92810.80345197063,95260.39595971514,0.01487738644202753,0.009824373581494116,0.010296100621833386,0.00750693242737829,0.002750926051169387,0.002990720793604801,0.0030964127428833987,0.0024886401714899987,0.0004944533959511854,0.0052631216636685315,301.84685429999155,301.84685429999155,301.8847103283857,301.8847103283857,301.8847103283857,301.8847103283857,301.8847103283857,301.8847103283857,301.8847103283857,301.84685429999155,0.1440476424397858,0.1740612893728826,0.22676674149578213,0.24839552037066467,0.22817967507651007,0.22148913145065305,0.23589026201510996,0.22711019472344468,0.2174054968537577,0.20169925384876808,1.1420846214690186,1.175981520190465,1.1703899019905664,1.1446624148580513,1.1007406667877677,1.144386633168951,1.0951815865838106,1.087176024063957,1.0844027935823317,1.1113957191487773,355.21,1337.3002,5878.240000000001,2298.0099999999998,734.615,198.4,3040.88,2077.92,1753.5500000000002,3601.85
2023-04-01,2023,4,NE,6257.254869414514,21792.4952,11321.735759718347,69143.54313190367,86266.09499999,3549.3679705854856,28.712888597605453,55.26762858816426,9.049658993432956,309.1999999999971,2,2.516797723919157,4.487646422147594,5.232463950031487,4.74222074936277,3.828398893826215,3.673562367171625,4.4850085262427495,4.2132177847257735,4.248450732303187,4.094980596266782,298.1806692731954,299.7972610444393,299.99913472892285,299.159120377178,297.66503516562693,300.0559387207032,298.34501990460075,297.9071002301364,297.66861123834485,298.3572272838699,97583.210786401,101053.78908335241,100704.24019687576,98349.54544756202,94055.71535770436,98425.46875,93778.02130515057,92871.58389985538,92752.10982961352,95215.95117331197,0.011558190416134042,0.011112133236725125,0.006417588231864576,0.0030509832664265242,0.0017746985789306579,0.0010576117783784,0.0007317649944909009,0.0007091880658545922,0.0013102552003314964,0.0015683112443538412,302.15221474104743,302.15221474104743,302.190892268234,302.190892268234,302.190892268234,302.190892268234,302.190892268234,302.190892268234,302.190892268234,302.15221474104743,0.13536063436955625,0.1730573785719708,0.21090232837210998,0.2220011090163389,0.20194855229350536,0.19270873069763178,0.2054854422136943,0.19066662164027062,0.18247647305482034,0.18880561364376022,1.1399850375358929,1.1742356970387289,1.1693855618925921,1.145238354910906,1.100719750621238,1.1427089011289961,1.0949646570526574,1.085935000449419,1.0854779543986173,1.1117302688008055,355.21,1337.3002,5878.240000000001,2438.8099999999995,734.615,241.8,3040.88,2077.92,1753.5500000000002,3601.85
2023-05-01,2023,5,NE,8799.05839095172,21964.2952,11956.659622307809,71036.67988252807,86097.95099996,1084.8744490482786,40.06073634883455,73.59127606622773,12.386640824856324,171.79999999999927,2,3.8149763709529103,6.834753387474638,6.650052542298075,5.993079235384529,4.263248401901134,4.069420244477265,5.660524579885375,5.200489001181781,5.0190609139609546,6.240240040630458,299.1265640780718,300.65793470195723,300.60360216619813,299.60914535292176,296.62183531138317,298.3868204752604,297.0891826840691,296.4870032594451,296.1350147859585,298.32881493788915,97693.83158730043,101169.95423186864,100841.90394539009,98476.03229990117,94246.05779962121,98649.73177083333,93994.17591243118,93088.76624821937,92987.11142191911,95403.33435514431,0.0018520827523546002,0.004058944743580846,0.0011494052300751061,0.0007036601064430542,0.0014435694328723812,0.002049709951582654,0.0020214980945425292,0.0013869775340751185,0.00037133528173561263,0.0012656230436079502,302.3329281560727,302.3329281560727,302.1582591194473,302.1582591194473,302.1582591194473,302.1582591194473,302.1582591194473,302.1582591194473,302.1582591194473,302.3329281560727,0.16643282406730348,0.24002231832602397,0.27100016407131544,0.28812215364219707,0.22353674081807928,0.2028579898178577,0.25164489315998195,0.223469152393169,0.18820814606957875,0.27823845689047655,1.137664106263498,1.1722202817772305,1.1686302358566114,1.1449883988086234,1.106828826630839,1.1517191388476378,1.1021258617458256,1.0936869886828404,1.0938637976218677,1.114023090435373,355.21,1337.3002,5921.64,2547.7099999999996,734.615,297.59999999999997,3040.88,2077.92,1753.5500000000002,3651.3500000000004
2023-06-01,2023,6,NE,11515.952526173542,22310.7952,11653.24439999586,69102.12775969667,84396.44499657,0.0,51.616055917960026,98.82185708022764,16.665120018041094,346.50000000000364,2,4.715527279367097,8.033668299065,7.657607226867585,7.155130845347681,5.4186648748312916,5.046112078695862,6.898946090417154,6.366372793031082,5.8250825600318485,8.197879919856932,298.9283437772107,300.32295413180594,299.7244554225217,298.34016357302767,294.92164048015036,296.81005859375,295.58948388859494,295.12696357601965,294.67456347370893,297.75625642153324,97822.42639213424,101318.09125263861,101010.59407284265,98624.72504491516,94428.27293909904,98888.43489583334,94200.50706256289,93333.83272570431,93090.64594944374,95583.29397003847,0.000862185961260919,0.0024673359710156075,0.0020716763854523937,0.001581072815394306,0.0019270688888508676,0.0015116076441093439,0.0004417132563263543,0.0002727643251087208,8.818942513988462e-05,0.00014667163182308234,301.6616132278933,301.6616132278933,301.2102727491487,301.2102727491487,301.2102727491487,301.2102727491487,301.2102727491487,301.2102727491487,301.2102727491487,301.6616132278933,0.2040637015360056,0.2821049313829466,0.30351686154420654,0.33052542168557353,0.2608752659590982,0.23629698902368546,0.3088816210526806,0.2747810094766585,0.22619182916526165,0.37371968497012464,1.1399130461844886,1.1752462325527848,1.1740208471086637,1.1515859855982242,1.1153627122892658,1.160639096385525,1.1101490170175552,1.1016170440052766,1.1005088182382146,1.1182700392660907,355.21,1337.3002,5921.64,2736.41,734.615,297.59999999999997,3040.88,2112.7200000000003,1933.5500000000002,3651.3500000000004
2023-07-01,2023,7,NE,12694.528203816964,22574.1952,11600.140581984624,68972.9986297587,84028.52199999,0.0,56.2346878431217,109.43426171517228,18.40506931119543,263.3999999999978,3,5.515645728138164,9.288401801816132,8.584417224109444,7.726866857758349,5.289546404084593,4.678208199010655,6.783405440491119,6.285590456932893,5.589247382258601,8.241475754688967,299.2478079759995,300.16599809758424,299.52490039010956,298.2050810387886,294.5736629997339,296.8177172342935,295.8072040465833,295.033179268221,294.7632632491194,298.3461672343992,97863.31740290952,101379.27669870446,101100.33876190631,98747.04770535341,94511.0808988807,98959.98583984375,94242.04904275242,93390.97917306941,93120.82271655444,95621.67445645104,7.205192332793736e-05,0.0007669735382774173,0.0005281674735836675,0.0006358364894936494,0.000974850610706033,0.0007976088430343918,0.0002341217941825273,0.00041647145885181935,0.0001603834276065233,9.35914132682815e-05,300.84804448049573,300.84804448049573,300.3808500066705,300.3808500066705,300.3808500066705,300.3808500066705,300.3808500066705,300.3808500066705,300.3808500066705,300.84804448049573,0.23908298754792084,0.3295463555049266,0.3411545326711685,0.3604174443912779,0.25574005776503905,0.2174988724291324,0.3027879222553222,0.2719247775456799,0.22687449324310116,0.3750296794728457,1.1391759943628654,1.176571175470317,1.175849325557223,1.153536193487606,1.1176557754557328,1.1614489138731696,1.1098214306339569,1.1026426157488474,1.1005350962927603,1.1165063677509235,355.21,1337.3002,5921.64,2932.1099999999997,734.615,297.59999999999997,3040.88,2147.5199999999995,1933.5500000000002,3651.3500000000004
2023-08-01,2023,8,NE,11527.302334689168,22993.6952,11989.970827952528,72498.70652283194,88624.33399998001,0.0,50.132448196882976,96.14120417887317,15.90001103131252,419.5000000000037,3,5.529592571324861,9.397109427462073,8.478273028082498,7.596166695502371,5.31318279416582,4.613111196932995,6.214271056101939,5.88852090615018,4.974256086821387,7.264435592350175,299.50083838413667,299.81784840527024,299.48993363151976,298.5692799111954,295.50701768806744,297.2720832824707,297.1192142581611,296.68722937026854,296.5130161737688,299.74180303879467,97777.93447714027,101308.26071365652,101016.47337043576,98599.19523928783,94393.24239567664,98814.32666015625,94095.79865460408,93405.3371364636,92941.40968595655,95487.80742008593,6.943860525114805e-05,0.0004577537953268172,0.0003790625183915854,0.00025420679016836627,0.0006635341016919393,0.0010292393611355205,0.00024586934017148783,0.0002553722084293361,0.00040396288061283136,2.7145787767378997e-05,300.35746202727995,300.35746202727995,300.1146343536343,300.1146343536343,300.1146343536343,300.1146343536343,300.1146343536343,300.1146343536343,300.1146343536343,300.35746202727995,0.2533797653189704,0.33452548106818447,0.3461361775635252,0.36927286911942236,0.26910879078605127,0.22954372440775236,0.28161029615028954,0.26039531761552853,0.20678180489639114,0.3463826770815778,1.13723582723912,1.177112407783414,1.1750112574577196,1.1504109460609242,1.1127312355513939,1.157966771308056,1.1032094910412797,1.0966584991126802,1.0919320022358245,1.109753695743828,355.21,1337.3002,5946.84,3117.01,734.615,297.59999999999997,3040.88,2290.52,1933.5500000000002,3700.8500000000004
2023-09-01,2023,9,NE,11750.548360863111,23445.8952,12315.05936666257,75715.266245832,97167.19199999,0.0,50.11772107922376,95.41609188399354,15.519391192142788,452.1999999999971,3,6.700786858364616,10.252770225103097,9.203099543456217,8.174519387953957,5.928698936892539,5.288760682697766,6.882727807507406,6.51715044383528,6.00879083979527,7.7916864683295195,300.1993915698224,300.0216082539985,299.7703057167935,298.9953629555395,296.1681167017728,298.2934400118314,298.6835140716914,298.31131072177857,298.3256923845108,301.11183444253163,97697.38889846853,101245.24409146082,100952.1289291561,98569.00343357261,94348.58091717261,98763.84390024039,94020.98710801847,93329.99495638542,92862.41360891396,95401.12533649364,4.0489331573164675e-05,0.0003428811475686936,0.00039757112683026606,0.00029895355488850176,0.0006022523950131187,0.0006794997741683116,0.00014471839681795963,0.00019602530822870177,6.845717195880596e-05,4.746228022289153e-06,300.53958357429514,300.53958357429514,300.32439142024487,300.32439142024487,300.32439142024487,300.32439142024487,300.32439142024487,300.32439142024487,300.32439142024487,300.53958357429514,0.2983192291897008,0.36266889524390844,0.37157404618689716,0.3963139530714663,0.30579544106138834,0.2600369338805859,0.3142355317813671,0.29058174051349206,0.2546428131707617,0.3719488621709901,1.1336671820391424,1.1755814586671578,1.1731651866280912,1.1484260431518631,1.109719092166618,1.1534123453293306,1.0965601820844821,1.089810876089031,1.0843766551624872,1.1037004049350945,355.21,1337.3002,6026.639999999999,3358.6099999999997,734.615,322.4,3040.88,2290.52,1933.5500000000002,3700.8500000000004
2023-10-01,2023,10,NE,12127.160956265996,23603.8952,13051.162861554958,77253.26243564581,93922.99999999,0.0,51.37779528976216,92.92015650183318,15.697927277010818,158.0,4,6.387307758672859,9.879448285109278,9.09818223777628,7.823266606683879,5.688329332735023,5.472259034066791,6.14611215763209,5.875036194910254,5.2837100029762185,6.604940786713811,300.4025110283573,300.156045666915,300.30910915996935,300.05453286792556,297.70558123601114,299.9791283240685,300.62541916508945,300.4112821089225,300.0509336928431,302.58812244925053,97590.02947464172,101135.1192299628,100817.7514464294,98450.79491684727,94178.9139523764,98539.0049579327,93817.26936759465,93216.9883614835,92651.09844360113,95207.97765462665,5.971476101254853e-05,0.0002586940866153851,0.00013772349699914341,0.00010694196616204131,0.00020723147821809706,0.0002779182362316058,1.2391107876047725e-05,6.50394751738428e-05,0.0006476370165391569,4.489443208661402e-06,300.74788772491826,300.74788772491826,300.53543224098985,300.53543224098985,300.53543224098985,300.53543224098985,300.53543224098985,300.53543224098985,300.53543224098985,300.74788772491826,0.2939073723036608,0.34919009140887247,0.37004858679329555,0.38495031870287055,0.29510928301349926,0.26762852645837343,0.2849365997005853,0.2689391699674226,0.23147903148982024,0.3170978270144654,1.131665755965936,1.1737766276351393,1.1695041157433863,1.143003353085891,1.1020021246336154,1.144319895896317,1.0871180644132117,1.0808786938893338,1.0756868542921896,1.0960927035692012,355.21,1337.3002,6026.639999999999,3476.8099999999995,734.615,322.4,3040.88,2381.72,1933.5500000000002,3700.8500000000004
2023-11-01,2023,11,NE,10232.681174719057,24075.4952,13514.73684305193,80659.12903194367,101472.16899999,601.2916652809454,42.50247436122957,75.71498648884004,12.686327384798036,471.6000000000022,4,5.951913022736848,8.748893914905558,8.13544154443041,6.897968621601317,5.174184225064638,5.153927981369121,5.041399819782255,4.736900568845097,3.943188076610407,4.527338689269021,300.5995545359749,300.596273108839,300.7671217354064,300.59541173536854,298.8477990447148,300.91752272385827,300.6446068854984,300.7880320466324,300.3895799697262,302.05859420030765,97560.91115818813,101089.58478267211,100745.65710299277,98393.5743535831,94085.53104453525,98411.80168269231,93744.94661665577,93285.8743194076,92569.98060638946,95179.3241940546,0.00041845278722113895,0.0006939363561061225,0.0009827201245967696,0.0002925108049672073,0.00019955287347128996,0.00032192827291923655,0.0005929544042000827,0.0007574062174767019,0.001292773663625715,0.0004682195413680221,301.32393871636384,301.32393871636384,301.1271809021455,301.1271809021455,301.1271809021455,301.1271809021455,301.1271809021455,301.1271809021455,301.1271809021455,301.32393871636384,0.2796140940640881,0.3096655173431641,0.34011811089535615,0.35283834252263296,0.27819618739908675,0.2688661435475716,0.23065995736741648,0.2156563608927255,0.17811723556243828,0.2377426214782375,1.130582181842393,1.1715297943335927,1.1668878170596213,1.1402840432240555,1.0967010746557326,1.139278836806969,1.0862041960150939,1.080316956500387,1.073530790165049,1.0976872028225548,355.21,1337.3002,6132.040000000001,3476.8099999999995,734.615,322.4,3040.88,2532.7200000000003,1933.5500000000002,3883.25
2023-12-01,2023,12,NE,10261.672263192862,24353.2952,13170.854274225603,80636.46780610515,100581.72199999,697.3105768071382,42.13668901444131,77.91197176385289,12.725845442371831,277.7999999999993,4,5.401275522890422,8.24964488372248,7.717237226503652,6.597058193599542,5.030503340434806,4.927277593596928,5.060541277360828,4.727693627706971,4.120083109969715,4.808635684529415,300.5522640274772,300.7260279478557,300.8635342540738,300.42522929999853,298.439550573414,300.6606669868074,300.5638381962223,300.9210686216834,300.3598898195715,301.58090392323754,97540.4928149897,101046.82069589141,100690.92602222948,98278.76949629108,94077.22851574465,98029.56394030503,93742.71853989431,93268.90052812203,92581.15906889207,95183.92136197933,0.0017437128934911972,0.0018675024871379622,0.00118084167527689,0.000921855012248069,0.0007488235370435588,0.0012791718383091304,0.0010180561138159795,0.0011970538659927562,0.0027586682570835065,0.0006330835776488082,301.580670364511,301.580670364511,301.44304553361167,301.44304553361167,301.44304553361167,301.44304553361167,301.44304553361167,301.44304553361167,301.44304553361167,301.580670364511,0.2543988189233194,0.29112072116927484,0.3190239491268942,0.33008953630941706,0.26745434640222626,0.2518260868542042,0.24498790069147916,0.23080027979802614,0.18468161374411443,0.25426620779284287,1.1305200997659082,1.1705288685117847,1.165877618319095,1.1395965927308935,1.0981049189768073,1.1358092454216215,1.0864722737739019,1.079645733049333,1.0737659754428794,1.0994815179659212,355.21,1337.3002,6181.639999999999,3581.209999999999,734.615,372.1,3040.88,2623.92,1933.5500000000002,3883.25
2024-01-01,2024,1,NE,6551.537428000416,25300.6952,13173.178837361584,79743.46421639613,98631.25499997,4833.775411999584,25.8946933126186,49.733913954155376,8.21576726366165,947.4000000000016,1,4.233782035474127,6.585954594955619,6.1843436901734155,4.920192300695267,3.5466707421723864,3.342548880369186,1.7857067159464115,1.5646820750776376,1.3029710494588727,1.7668416429425784,300.07669991561716,301.09165159886714,301.28793324996604,300.6287716374781,299.2398262269284,301.1322526782539,299.64027769734025,299.5268991724605,297.9994157934419,299.9880919856541,97681.92126664509,101164.1411597516,100787.6389478434,98328.62908198012,94131.24305078168,97750.57112005097,93726.7470253221,93377.59545797296,92651.33258962627,95320.6172017512,0.003596307844165431,0.001663809657509385,0.0011673081526885542,0.0017082563107477845,0.0019334203335358395,0.0034541363445683743,0.0042203013966270134,0.005453931956007595,0.008083920397604404,0.0027239686664179115,302.30207366665405,302.30207366665405,302.24381088688625,302.24381088688625,302.24381088688625,302.24381088688625,302.24381088688625,302.24381088688625,302.24381088688625,302.30207366665405,0.20049136798361195,0.23304192695684398,0.263368666492902,0.2589160369758941,0.20994873630268088,0.20254475994661778,0.1528579644597981,0.14286502634531484,0.12450830556587329,0.1572807151077903,1.133933309489558,1.1704646273876271,1.1653524177973735,1.1393906116947101,1.0957969831896774,1.1307965890544158,1.0896353408491932,1.0859597621201549,1.0830906551110744,1.1069096214319927,355.21,1337.3002,6212.640000000001,3856.0099999999998,734.615,421.79999999999995,3389.1800000000003,2915.92,1933.5500000000002,3974.4500000000003
2024-02-01,2024,2,NE,8325.108252904669,25754.5952,13191.391191087989,82766.53936350551,101477.511,3264.459587095331,32.32474899432575,63.110161258268604,10.05854336417439,453.8999999999978,1,3.1348480856100567,4.974901598628804,5.560351688221559,5.107289933932448,4.470609037499674,4.248292709804284,4.391802006077907,3.9017176207878563,3.271408963688447,3.91120096406804,299.39566993686526,300.34989466224596,300.9552099737922,300.55109520050985,298.6725748718411,300.34927790692876,298.2580860738016,298.2285219382534,297.02663663283255,299.0702452383963,97681.98194289998,101155.08054726603,100749.44594340073,98298.07443642657,94171.52230590172,97848.43671837955,93810.99778790519,93494.04185953678,92783.27323147509,95373.20691129433,0.012754285592968642,0.020687269668570787,0.006611157741167438,0.0045076726171083105,0.0028033059256935065,0.0022725789836881773,0.0038430130268511118,0.0036297471521545503,0.006440106950404889,0.005426983302265147,302.3520578149764,302.3520578149764,302.56248774115477,302.56248774115477,302.56248774115477,302.56248774115477,302.56248774115477,302.56248774115477,302.56248774115477,302.3520578149764,0.1764971674426625,0.2129423542534211,0.2536610822496602,0.2728663194404041,0.23739554490351342,0.20791818559763267,0.20143558730407085,0.1808722735764173,0.15499229354979968,0.2114666941079271,1.1365166432205143,1.173250039521005,1.1661991251456245,1.1393359267564351,1.098354158074168,1.134876480548606,1.0956706559567482,1.0920363026711937,1.0881860958599403,1.1109175496951713,355.21,1337.3002,6386.64,4070.5099999999998,734.615,421.79999999999995,3389.1800000000003,2976.42,1933.5500000000002,3974.4500000000003
2024-03-01,2024,3,NE,6527.395925578978,26244.1952,13409.232362899382,82499.61685752742,102086.33099999,5282.491914421024,24.871770217510715,48.67837135583507,7.912031805979722,489.6000000000022,1,2.287376531613656,3.6282986610984094,3.934605812329009,3.726796748824444,3.8857984363069495,4.300508723791652,3.985383753343103,3.739885109447691,3.6187176812553234,2.8650521110210088,298.93597600347357,300.46516817392893,300.7672970520243,300.0486151633938,298.89528475084063,301.6774443494815,299.3309332983714,299.42503462839557,298.64843672425644,299.1695729271943,97639.97847576083,101099.84841615148,100679.1078902212,98241.52445476099,94096.3864924144,97735.37321820177,93717.03614300698,93263.76566557906,92680.86655241491,95309.19860139213,0.01127213580043932,0.015438570693372677,0.010925104595831134,0.006866465022264608,0.0029365281685417534,0.0010056738122800784,0.0017639936916067263,0.0015288545224317104,0.0010151522619497764,0.0034513290163159737,302.68537245641573,302.68537245641573,303.11531503067596,303.11531503067596,303.11531503067596,303.11531503067596,303.11531503067596,303.11531503067596,303.11531503067596,302.68537245641573,0.13344669243206136,0.1553510367228697,0.19353075972909473,0.2094914998238003,0.2011750109881822,0.2149294469242358,0.18276408981893244,0.1688099708123758,0.14203043101951107,0.15717966279640694,1.1377708157005586,1.1721594964893223,1.1661072921175628,1.140591338860006,1.096655622129754,1.1285704082095624,1.0906487535873999,1.0849819052127998,1.0810840813654772,1.1097987139328678,355.21,1337.3002,6411.4400000000005,4124.509999999999,734.615,421.79999999999995,3389.1800000000003,3165.1200000000003,1933.5500000000002,4065.6500000000005
