CEG_norm,nome_parque,longitude_parque,latitude_parque,uf,qtd_aerogeradores,potencia_turbina_mw,capacidade_mw,lat_era5,lon_era5,cell_key
EOLCVRN034551-2-01,Boa Vista II,-36.11189470199997,-5.485159220999947,RN,5,27.499950000000002,27.499950000000002,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN034596-2-01,Morro Pintado 1,-37.058087599999965,-5.03986096999995,RN,0,0.0,0.0,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN034597-0-01,Morro Pintado 3,-37.06380599999994,-5.051315469999963,RN,0,0.0,0.0,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN034598-9-01,Morro Pintado 4,-37.07575824999998,-5.046405319999963,RN,0,0.0,0.0,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN034599-7-01,Morro Pintado 5,-37.070407399999965,-5.032528829999933,RN,0,0.0,0.0,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN034600-4-01,Morro Pintado 6,-37.07702204999998,-5.027494179999962,RN,0,0.0,0.0,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN034601-2-01,Morro Pintado 7,-37.08248107999998,-5.019870139999966,RN,0,0.0,0.0,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN034602-0-01,Morro Pintado 8,-37.090408139999965,-5.019215259999953,RN,0,0.0,0.0,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN034603-9-01,Morro Pintado 9,-37.10023072999997,-5.002218479999954,RN,0,0.0,0.0,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN034611-0-01,Morro Pintado 2,-37.05102859999994,-5.036603029999981,RN,0,0.0,0.0,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN034612-8-01,Passagem,-36.61828528999996,-6.065759286999935,RN,9,51.300000000000004,51.300000000000004,-6.0,-36.5,latm6p00_lonm36p50
EOLCVRN034719-1-01,Pau DArco,-36.09026557899995,-5.540420483999981,RN,5,27.499950000000002,27.499950000000002,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN034720-5-01,Pedra Rosada I,-36.11588855199994,-5.5207860519999485,RN,5,27.499950000000002,27.499950000000002,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN034723-0-01,Santa Benvinda II,-36.09301735499997,-5.5585039359999655,RN,5,27.499950000000002,27.499950000000002,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN034724-8-01,Pau Branco,-36.114832846999946,-5.502267912999969,RN,5,27.499950000000002,27.499950000000002,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN034937-2-01,Ventos de Santa Leia 03,-36.11526128699995,-5.845893298999954,RN,15,67.5,67.5,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN035008-7-01,Jandaíra II,-36.02021005399996,-5.4263360589999365,RN,7,24.255,24.255,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN035158-0-01,Afonso Bezerra I,-36.50617712099995,-5.3244759169999725,RN,7,29.400000000000002,29.4,-5.25,-36.5,latm5p25_lonm36p50
EOLCVRN035159-8-01,Afonso Bezerra II,-36.47258375699994,-5.361014387999944,RN,7,29.400000000000002,29.4,-5.25,-36.5,latm5p25_lonm36p50
EOLCVRN035160-1-01,Afonso Bezerra III,-36.49254230899993,-5.408627124999953,RN,7,29.400000000000002,29.4,-5.5,-36.5,latm5p50_lonm36p50
EOLCVRN035161-0-01,Afonso Bezerra IV,-36.46978643299997,-5.350537047999978,RN,4,16.8,16.8,-5.25,-36.5,latm5p25_lonm36p50
EOLCVRN035165-2-01,Angicos I,-36.48918220199994,-5.315097755999943,RN,6,25.200000000000003,25.2,-5.25,-36.5,latm5p25_lonm36p50
EOLCVRN035166-0-01,Angicos II,-36.49740093799994,-5.356244991999972,RN,7,29.400000000000002,29.4,-5.25,-36.5,latm5p25_lonm36p50
EOLCVRN035187-3-01,Filgueira III,-37.049359100999936,-4.980007009999952,RN,7,42.0,42.0,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN035210-1-01,Santa Rosa e Mundo Novo I,-36.156220606999966,-5.9137321559999805,RN,8,33.6,33.6,-6.0,-36.25,latm6p00_lonm36p25
EOLCVRN035211-0-01,Santa Rosa e Mundo Novo II,-36.18675161999994,-5.85915906799994,RN,7,29.400000000000002,29.4,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN035212-8-01,Santa Rosa e Mundo Novo III,-36.23776073699997,-5.820178634999934,RN,8,33.6,33.6,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN035214-4-01,Santo Agostinho 25,-36.15093640999993,-5.575646616999961,RN,4,24.8,24.8,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN035215-2-01,Santo Agostinho 26,-36.15316183199997,-5.59287891699995,RN,7,43.4,43.400000000000006,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN035216-0-01,Santo Agostinho 27,-36.17744564099996,-5.561471064999978,RN,6,37.2,37.2,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN035270-5-01,Jandaíra III,-36.01272336999995,-5.434540208999977,RN,8,27.72,27.72,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN036973-0-01,Vila Piauí II,-37.07805102799995,-5.098038717999941,RN,9,37.800000000000004,37.8,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN036974-8-01,Ventos de Vila Ceará I,-37.03678143099995,-5.127144622999936,RN,9,31.185,31.185,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN036975-6-01,Vila Piauí I,-37.10533935299998,-5.097305976999962,RN,9,37.800000000000004,37.8,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN036976-4-01,Ventos de Vila Ceará II,-37.03684692299999,-5.105662622999944,RN,9,31.185,31.185,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN036977-2-01,Vila Alagoas II,-37.09281853099998,-5.171753835999937,RN,5,21.0,21.0,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN036979-9-01,Vila Piauí III,-37.062373821999984,-5.102855963999957,RN,9,37.800000000000004,42.0,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN036980-2-01,Vila Ceará I,-37.015139456999975,-5.100948674999927,RN,9,31.95,31.950000000000003,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN036981-0-01,Ventos de Vila Paraíba I,-36.97699026399994,-5.129408292999926,RN,10,34.65,34.65,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN036983-7-01,Vila Alagoas I,-37.09376719499994,-5.156078520999927,RN,5,21.0,21.0,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN036984-5-01,Ventos de Vila Mato Grosso I,-37.07549486499994,-5.239838309999925,RN,17,58.905,58.905,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN036985-3-01,Ventos de Vila Paraíba II,-36.977065264999965,-5.105540276999932,RN,10,34.65,34.65,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN037020-7-01,Cumaru IV,-35.78331741799997,-5.159981892999952,RN,10,42.0,42.0,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN037021-5-01,Cumaru V,-35.798929993999934,-5.145831832999932,RN,9,37.800000000000004,37.8,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN037070-3-01,Quixabeira,-35.838659751999955,-5.161489772999971,RN,12,50.400000000000006,50.400000000000006,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN037073-8-01,São Fernando 1,-36.01128274299998,-5.176915471999962,RN,22,76.22999999999999,76.22999999999999,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN037075-4-01,São Fernando 2,-36.02865094499998,-5.180079771999942,RN,21,72.765,72.765,-5.25,-36.0,latm5p25_lonm36p00
