data,ano,mes,subsistema,geracao_eolica_ne_mwmed,fc_ne,capacidade_eolica_ne_mw,carga_ne_mwmed,demanda_sin_mwmed,demanda_max_sin_mw,crescimento_capacidade_mw,trimestre,vel_vento_100m_lat3.7S_lon41.1W,vel_vento_100m_lat3.1S_lon39.7W,vel_vento_100m_lat5.1S_lon36.4W,vel_vento_100m_lat6.2S_lon36.4W,vel_vento_100m_lat8.9S_lon37.4W,vel_vento_100m_lat10.4S_lon41.0W,vel_vento_100m_lat11.7S_lon42.0W,vel_vento_100m_lat14.1S_lon42.5W,vel_vento_100m_lat8.1S_lon41.0W,t2m_lat3.7S_lon41.1W,t2m_lat3.1S_lon39.7W,t2m_lat5.1S_lon36.4W,t2m_lat6.2S_lon36.4W,t2m_lat8.9S_lon37.4W,t2m_lat10.4S_lon41.0W,t2m_lat11.7S_lon42.0W,t2m_lat14.1S_lon42.5W,t2m_lat8.1S_lon41.0W,sp_lat3.7S_lon41.1W,sp_lat3.1S_lon39.7W,sp_lat5.1S_lon36.4W,sp_lat6.2S_lon36.4W,sp_lat8.9S_lon37.4W,sp_lat10.4S_lon41.0W,sp_lat11.7S_lon42.0W,sp_lat14.1S_lon42.5W,sp_lat8.1S_lon41.0W,tp_lat3.7S_lon41.1W,tp_lat3.1S_lon39.7W,tp_lat5.1S_lon36.4W,tp_lat6.2S_lon36.4W,tp_lat8.9S_lon37.4W,tp_lat10.4S_lon41.0W,tp_lat11.7S_lon42.0W,tp_lat14.1S_lon42.5W,tp_lat8.1S_lon41.0W,sst_lat3.7S_lon41.1W,sst_lat3.1S_lon39.7W,sst_lat5.1S_lon36.4W,sst_lat6.2S_lon36.4W,sst_lat8.9S_lon37.4W,sst_lat10.4S_lon41.0W,sst_lat11.7S_lon42.0W,sst_lat14.1S_lon42.5W,sst_lat8.1S_lon41.0W,zust_lat3.7S_lon41.1W,zust_lat3.1S_lon39.7W,zust_lat5.1S_lon36.4W,zust_lat6.2S_lon36.4W,zust_lat8.9S_lon37.4W,zust_lat10.4S_lon41.0W,zust_lat11.7S_lon42.0W,zust_lat14.1S_lon42.5W,zust_lat8.1S_lon41.0W,densidade_ar_lat3.7S_lon41.1W,densidade_ar_lat3.1S_lon39.7W,densidade_ar_lat5.1S_lon36.4W,densidade_ar_lat6.2S_lon36.4W,densidade_ar_lat8.9S_lon37.4W,densidade_ar_lat10.4S_lon41.0W,densidade_ar_lat11.7S_lon42.0W,densidade_ar_lat14.1S_lon42.5W,densidade_ar_lat8.1S_lon41.0W,capacidade_cluster_mw_lat3.7S_lon41.1W,capacidade_cluster_mw_lat3.1S_lon39.7W,capacidade_cluster_mw_lat5.1S_lon36.4W,capacidade_cluster_mw_lat6.2S_lon36.4W,capacidade_cluster_mw_lat8.9S_lon37.4W,capacidade_cluster_mw_lat10.4S_lon41.0W,capacidade_cluster_mw_lat11.7S_lon42.0W,capacidade_cluster_mw_lat14.1S_lon42.5W,capacidade_cluster_mw_lat8.1S_lon41.0W,fc_lag_1,fc_lag_2,fc_lag_3,fc_lag_6,fc_lag_12,geracao_lag_1,geracao_lag_3,geracao_lag_6,geracao_lag_12,fc_diff_1,meses_desde_inicio,mes_sin,mes_cos,nino34_anom,amm_sst,ibc_br,nino34_lag_3,nino34_lag_6,nino34_lag_12
2015-01-01,2015,1,NE,1610.625311463844,0.4740723390948663,3397.4252,10042.26408559926,67110.38225588677,84524.63090735,0.0,1,7.509469644464628,8.315616050933107,8.488562127406436,7.23717081673816,,6.51705961126167,5.29977696734827,5.164494640362985,,301.1133117675781,299.9854119446859,300.3446809486794,300.5732421875,,301.5312194824219,295.33624267578125,298.1950784372495,,100932.2421875,101172.86927979306,100906.69526638112,100028.28125,,95823.34375,89787.125,92680.68436391572,,0.0007629396859556,0.0009413340285325,0.0008552397500088,0.000675213523209,,0.0003042037133127,0.0004539117217062,0.0003830425770301,,300.84774518081593,300.84774518081593,301.005204455676,301.005204455676,,301.005204455676,301.005204455676,301.005204455676,,0.3239399790763855,0.2944823851568628,0.3417879087645696,0.3438714146614074,,0.3264336585998535,0.2104617953300476,0.2010557829886294,,1.167697394001446,1.1748824939302849,1.1703924082249604,1.1593186859564724,,1.107055471294305,1.0590773144368484,1.0827266766567458,,105.0,751.0002000000001,1638.09,117.2,,91.465,100.52,606.1499999999999,,,,,,,,,,,,60,0.49999999999999994,0.8660254037844387,0.51,-0.8,101.23617,,,
2015-02-01,2015,2,NE,1349.3915571965326,0.39718065233534283,3397.4252,10003.646017426354,65846.80697904786,83225.47869767001,0.0,1,6.146996269315261,6.879395208419198,7.386233783291415,6.358932335983959,,5.476038340660224,4.691485594427272,4.320679019966054,,300.4703369140625,299.7259368717402,300.4796708595932,300.7857360839844,,300.8706970214844,294.9725341796875,297.51615690958045,,100892.5546875,101110.27765406849,100825.88037716564,99947.59375,,95773.65625,89738.375,92648.52505748373,,0.0059246942400932,0.0057154311169217,0.0021387639721563,0.0012683991808444,,0.002380029298365,0.0030525717884302,0.0027091869789597,,301.23611006729914,301.23611006729914,301.43767428207804,301.43767428207804,,301.43767428207804,301.43767428207804,301.43767428207804,,0.2611295580863952,0.2436450844714833,0.299433722423565,0.3061910271644592,,0.2851927876472473,0.1968135237693786,0.1832574704265099,,1.169736011308125,1.1751718645617215,1.168929675293714,1.157565170440077,,1.1089105632405245,1.0598074471965002,1.0848202202609991,,105.0,751.0002000000001,1638.09,117.2,,91.465,100.52,606.1499999999999,,0.4740723390948663,,,,,1610.625311463844,,,,-0.07689168675952346,61,0.8660254037844386,0.5000000000000001,0.42,-1.78,100.50855,,,
2015-03-01,2015,3,NE,1059.652540510766,0.29671129935486296,3571.3252,10058.70366407804,64983.4482150371,80202.90198443999,173.90000000000057,1,4.685027072345919,5.380656813415638,6.593813914075777,5.78513335690517,5.077670808634736,5.020481555578452,4.646530814214051,4.271402598319556,,299.87109375,299.59649580486126,300.07781474274213,299.9580078125,301.1509067311007,301.2304382324219,295.97875976562494,298.750503522166,,100882.328125,101086.14266751776,100805.18365962508,99914.359375,96073.65854779413,95733.4375,89699.18749999999,92584.78571052956,,0.0101110562682151,0.0134797155061008,0.0071092062325379,0.0055294260382652,0.0010629348689689,0.0034951062407344,0.0009841269347815,0.0013410017694449,,301.4471869590106,301.4471869590106,301.74573293982644,301.74573293982644,301.74573293982644,301.74573293982644,301.74573293982644,301.74573293982644,,0.1966736316680908,0.1924052678996373,0.2587258448551711,0.2654857039451599,0.2623680058647604,0.2499133944511413,0.1815069317817687,0.1696495460458962,,1.17195473428614,1.1753988101588184,1.1702521738868368,1.1603734755257715,1.1113485576656308,1.1071211440331583,1.0557432380144114,1.0795944017054668,,105.0,751.0002000000001,1732.09,117.2,79.9,91.465,100.52,606.1499999999999,,0.39718065233534283,0.4740723390948663,,,,1349.3915571965326,,,,-0.10046935298047988,62,1.0,6.123233995736766e-17,0.47,-4.23,100.34814,,,
2015-04-01,2015,4,NE,916.7222368070832,0.24452934852023273,3748.9252,10055.286826224296,59368.70076185767,76380.99841121,177.59999999999943,2,4.52405641417024,5.021163376780894,5.719821763839437,4.868125624987258,4.096869379442042,4.57407346637413,4.117695370866549,4.270326497686629,,299.7901916503906,299.60946341348017,300.24751585374645,300.07733154296875,301.2422359690947,300.86151123046875,295.7093505859375,298.092864810186,,100924.875,101127.2609137371,100846.810064558,99950.40625,96093.7693014706,95770.96875,89727.75,92656.1423115285,,0.0120878592133522,0.010525704742675,0.0037629049420385,0.0022326346952468,0.0006539210786713,0.0008382943924516,0.0047555165365338,0.002457689019869,,301.83475711933795,301.83475711933795,302.10743378877305,302.10743378877305,302.10743378877305,302.10743378877305,302.10743378877305,302.10743378877305,,0.1996074318885803,0.1942076880084479,0.235080112703659,0.2323015332221984,0.236152492901858,0.2577301859855652,0.1722801923751831,0.1766297966573316,,1.1727654032252122,1.175826017457441,1.170073323990103,1.1603305312573866,1.1112442069470612,1.1089133020461754,1.0570415659729342,1.0828101207609266,,105.0,751.0002000000001,1792.0900000000004,117.2,79.9,91.465,100.52,723.75,,0.29671129935486296,0.39718065233534283,0.4740723390948663,,,1059.652540510766,1610.625311463844,,,-0.05218195083463023,63,0.8660254037844387,-0.4999999999999998,0.7,-5.65,99.03888,0.51,,
2015-05-01,2015,5,NE,1568.7339891567203,0.41198069396265324,3807.7852,9804.350262006184,57981.01422175612,71152.41551516,58.86000000000058,2,6.10189270488252,7.696392004066303,8.083307516267508,6.923913843039051,6.216429309124909,7.450284415677011,5.416220164892335,5.6524467231631,,300.7147827148437,300.3733112939366,300.60423766712825,300.3495178222656,299.3136767219095,299.4482116699219,293.55194091796875,295.6291809781986,,100953.4453125,101167.47435992691,100921.1501399708,100031.984375,96256.12178308824,95942.03125,89898.3125,92881.03886787569,,0.0027475568931549,0.0041952299292446,0.0014645550396847,0.0006504631601274,0.0006576588322572,0.0002870312891899,0.0009755128994583,0.0010503898462527,,301.7572772790051,301.7572772790051,301.8773850505093,301.8773850505093,301.8773850505093,301.8773850505093,301.8773850505093,301.8773850505093,,0.2449888586997985,0.2692847611673408,0.3213600608976883,0.3241308331489563,0.3037738729925716,0.3610219955444335,0.215572953224182,0.2196843650073379,,1.1694905379521163,1.173302328836095,1.1695469632403352,1.160225190174078,1.1202938258331308,1.1161370648020796,1.0668341976718652,1.0944852997477388,,105.0,751.0002000000001,1821.25,146.9,79.9,91.465,100.52,723.75,,0.24452934852023273,0.29671129935486296,0.39718065233534283,,,916.7222368070832,1349.3915571965326,,,0.16745134544242052,64,0.49999999999999994,-0.8660254037844387,0.92,-4.08,98.38429,0.42,,
2015-06-01,2015,6,NE,1680.0848505327365,0.42321807500635966,3969.7852,9447.666171366069,56778.919712516,70776.98412526,162.0,2,6.520118678248478,8.482731075000714,8.02155036617301,7.023255331878576,6.649802167429862,7.722477902668411,6.261766437307068,6.355646037180892,,300.56915283203125,299.9808757563211,299.55191519836154,299.0681457519531,297.14443520938653,298.03204345703125,292.45703125,294.9159030943033,,101103.2578125,101332.05321300388,101116.2389802759,100219.796875,96474.58134191178,96157.875,90070.125,93079.00730569947,,0.0013179848901927,0.0032163333599592,0.0016797862535117,0.0010662232525646,0.0008652500315185,0.0002012026525335,0.0005397530039772,0.000289239818613,,301.26723133468005,301.26723133468005,301.0361262149419,301.0361262149419,301.0361262149419,301.0361262149419,301.0361262149419,301.0361262149419,,0.2651522159576416,0.2998283103215499,0.3204634661012659,0.3297656774520874,0.3135412563295925,0.3759033679962158,0.2536158561706543,0.2547205208579081,,1.1717935090590006,1.1767486959302944,1.17592450595569,1.1673839160963293,1.131033436843461,1.123963587968356,1.0728747976818231,1.0994706172931792,,105.0,751.0002000000001,1937.35,192.8,79.9,91.465,100.52,723.75,,0.41198069396265324,0.24452934852023273,0.29671129935486296,,,1568.7339891567203,1059.652540510766,,,0.011237381043706418,65,1.2246467991473532e-16,-1.0,1.18,-4.13,97.39633,0.47,,
2015-07-01,2015,7,NE,1983.367505673562,0.49442224183540845,4011.4852,9109.736863200444,56950.599557212896,69130.69119317,41.69999999999982,3,7.453079977726821,9.577477200771389,8.873123909068317,7.714853599867862,7.180015494980949,8.217506244853048,6.524470074963934,6.427646130892717,,300.4228515625,299.5113138626141,298.78702378708266,298.1562194824219,296.5492140826057,297.8730163574219,291.97576904296875,294.77587179581246,,101095.1640625,101340.5576870602,101145.03310044704,100248.203125,96513.6052389706,96176.28125,90074.0,93071.35117918823,,0.0013923891820013,0.0033854249340689,0.0043653050546216,0.0027867893222719,0.0007753181476693,0.0001191961928269,0.0004739602445623,0.0002131953661511,,300.501448536656,300.501448536656,300.2467879515156,300.2467879515156,300.2467879515156,300.2467879515156,300.2467879515156,300.2467879515156,,0.3058696985244751,0.3359367411748504,0.3443110870756242,0.351541519165039,0.3336879383115207,0.3981729745864868,0.2652251124382018,0.25791598292583,,1.1722703015393203,1.178692496908966,1.1792698941844784,1.1712863151286164,1.133761917994368,1.1247789051447137,1.0746894452084783,1.099903185367498,,105.0,751.0002000000001,1967.05,192.8,79.9,91.465,100.52,723.75,,0.42321807500635966,0.41198069396265324,0.24452934852023273,0.4740723390948663,,1680.0848505327365,916.7222368070832,1610.625311463844,,0.07120416682904879,66,-0.4999999999999997,-0.8660254037844388,1.46,-1.6,96.3404,0.7,0.51,
2015-08-01,2015,8,NE,2574.252683029032,0.6148224940057186,4186.985199999999,9208.784721469892,58282.67908589064,71074.15913307,175.4999999999991,3,8.46196402216075,10.83730106498116,10.204542793985542,8.938160560179929,7.344979834668916,8.218500617497464,6.287554343329553,6.546218715877562,8.718781798095614,300.80523681640625,299.5748620527929,298.8762272612122,298.5005798339844,296.88252617331113,298.0727844238281,292.06427001953125,295.1188171551166,298.6942138671875,101026.640625,101299.08878106409,101130.67440869576,100233.171875,96493.19163602944,96143.75,90033.0,93025.07386226254,94635.875,1.7168811609735712e-05,0.0002122054655143,0.0003106051565856,0.0002164884936063,0.0002881536878275,6.007601041346789e-05,0.0003652292652986,0.0001402086957022,4.767257451021578e-06,300.01029817494765,300.01029817494765,299.6219669150091,299.6219669150091,299.6219669150091,299.6219669150091,299.6219669150091,299.6219669150091,300.01029817494765,0.357825756072998,0.3788425200944291,0.3945904276724378,0.4082962274551391,0.3423854726202348,0.393602967262268,0.2567180991172789,0.2681130992176207,0.4103966951370238,1.169986537249834,1.1779605841297294,1.1787513992456364,1.1697596592045338,1.1322495100103471,1.1236448824307474,1.0738747637550017,1.098078829940238,1.103721080612983,105.0,751.0002000000001,1967.05,192.8,79.9,91.465,100.52,723.75,175.5,0.49442224183540845,0.42321807500635966,0.41198069396265324,0.39718065233534283,,1983.367505673562,1568.7339891567203,1349.3915571965326,,0.1204002521703102,67,-0.8660254037844385,-0.5000000000000004,1.93,1.1,96.77984,0.92,0.42,
2015-09-01,2015,9,NE,2325.0437006091665,0.544432107480063,4270.5852,9579.984389498042,60537.356152625005,78755.46061275,83.60000000000127,3,9.084276188646284,10.731081378917793,9.749570886575354,8.202852373542685,6.595808117821058,7.414140172734564,5.952916018473006,5.88983316395064,6.720416029662839,300.778076171875,299.5370830049019,299.408185589076,299.453857421875,299.0778207217946,300.5963439941406,294.9960327148437,298.75810134323734,301.14752197265625,100993.359375,101266.2662538447,101075.55334989852,100170.90625,96337.38097426471,95958.46875,89871.1875,92760.24995358376,94498.09375000004,0.0001373371196677,0.000425349941526,0.0003582177685971,0.0001793035189621,8.671891255824664e-05,1.8117900253855627e-05,9.821740968618542e-05,1.6835406089565636e-06,3.814651790889912e-06,300.06853189622774,300.06853189622774,299.9113945688917,299.9113945688917,299.9113945688917,299.9113945688917,299.9113945688917,299.9113945688917,300.06853189622774,0.3891710042953491,0.3761040061306516,0.3797886952709542,0.3800649046897888,0.3201788681394913,0.3573219776153564,0.2351672649383545,0.2373893379901563,0.3235580325126648,1.169706724552125,1.1777273240824544,1.176016876909837,1.1653115106996628,1.122123719706733,1.112064456735633,1.061291412579498,1.0816168321958206,1.0931357538756743,105.0,751.0002000000001,2021.05,192.8,79.9,91.465,100.52,723.75,205.1,0.6148224940057186,0.49442224183540845,0.42321807500635966,0.29671129935486296,,2574.252683029032,1680.0848505327365,1059.652540510766,,-0.07039038652565566,68,-1.0,-1.8369701987210297e-16,2.21,2.44,96.02914,1.18,0.47,
2015-10-01,2015,10,NE,2443.732998564059,0.5601314038023368,4362.7852,9896.937156031843,62217.85409849258,78652.59878955,92.19999999999982,4,9.074172568989434,10.50313713775214,9.78999205606896,8.21515663610061,6.430682914530828,7.434440585454938,6.21097445175306,6.2532860340953205,6.289752407031036,301.0830078125,299.752224716484,299.71720647690177,299.89355468749994,300.1673727596507,301.5672607421875,296.25115966796875,299.63323109849887,301.8957824707031,100941.6796875,101217.84328296034,101023.23506605576,100118.71874999996,96263.11994485294,95885.28125,89820.0,92715.21270260397,94439.40625,4.863959475187585e-05,0.000152909056233,0.0002128231739662,0.0001401913032168,0.0001186684851691,3.051364910788834e-05,0.0004195660585537,0.0004187078019497,0.0001115712948375,300.2229462598574,300.2229462598574,300.1300386539733,300.1300386539733,300.1300386539733,300.1300386539733,300.1300386539733,300.1300386539733,300.2229462598574,0.3952842354774475,0.3729530220815502,0.3895701953742772,0.3901926279067993,0.3300737510709201,0.3707212209701538,0.259843647480011,0.2650452508776566,0.3370805382728576,1.1679241171269792,1.1763193038601871,1.1741967218627185,1.1629967376317538,1.117188783988964,1.1076386474186,1.0561931267838776,1.0779333566337708,1.089749171123114,105.0,751.0002000000001,2072.3500000000004,192.8,79.9,91.465,100.52,778.15,205.1,0.544432107480063,0.6148224940057186,0.49442224183540845,0.24452934852023273,,2325.0437006091665,1983.367505673562,916.7222368070832,,0.015699296322273848,69,-0.8660254037844386,0.5000000000000001,2.36,3.95,96.47917,1.46,0.7,
