,rmse,mae,bias,mape,n
sazonal_conservador,1572.4827909155385,1304.9930478085537,-66.74511294743473,12.738312247847164,17.0
sazonal_base,2993.9761819547816,2646.5293663784723,2260.1234797211537,24.81164398532569,17.0
sazonal_otimista,3961.8867971401237,3474.6849679803304,3267.147640901885,32.39932943274737,17.0
