janela,cutoff_date,val_rmse,val_mae,test_rmse,test_mae,modelo
48,2020-12-01,2002.290734308943,1916.1623747680685,2829.626162589138,2468.2768853927255,XGBoost
48,2021-01-01,1963.9202719649388,1802.1198217361452,3056.374627437297,2702.383619082509,XGBoost
48,2021-02-01,2015.581293026286,1838.8460197443694,3134.060736516662,2840.919584446207,XGBoost
48,2021-03-01,2354.247177329707,2132.1486437712992,3384.288858186371,3002.6535217251944,XGBoost
48,2021-04-01,2469.695290063151,2309.7185685850873,3225.9411256774524,2870.8399148508556,XGBoost
48,2021-05-01,2430.5236903737223,2331.936066618807,3260.053327620537,2933.421385328622,XGBoost
48,2021-06-01,2364.726505501323,2221.191087850155,3537.9457850773374,3140.2428178520386,XGBoost
48,2021-07-01,2253.7004630971282,2118.688910502962,3489.7895318300293,3257.9489238123533,XGBoost
48,2021-08-01,2127.066570466487,1970.8133636178463,3382.3933121689743,3118.98120823792,XGBoost
48,2021-09-01,2072.7614952663607,1879.890245990903,3362.7074310975368,3036.022176108548,XGBoost
48,2021-10-01,2092.3331854761122,1881.3742007452736,3104.3582879949086,2889.830371379907,XGBoost
48,2021-11-01,1735.621659512549,1601.952394155261,2920.7913927742256,2691.4924631790204,XGBoost
48,2021-12-01,1748.2777093776858,1548.7659602700105,2827.0941704696993,2656.5112842253934,XGBoost
48,2022-01-01,2001.2728088687497,1780.9659758533426,2894.3204133906534,2566.605884752456,XGBoost
48,2022-02-01,1873.4347642019636,1663.7550336649567,2723.386699503485,2456.6562711640217,XGBoost
48,2022-03-01,1860.1326499628362,1621.148801673111,2453.3296247587464,2081.4517535370246,XGBoost
48,2022-04-01,1742.8571229014108,1474.1973814580706,2397.8123103779326,1982.7935324642142,XGBoost
48,2022-05-01,1670.3447695331045,1395.167055957377,2403.9924201554168,1979.3119400610092,XGBoost
48,2022-06-01,1848.467793828643,1527.2684951168812,2332.935189086974,1996.3401694706863,XGBoost
48,2022-07-01,2036.5272496178545,1721.367018674777,2281.713939970093,1859.298292593078,XGBoost
48,2022-08-01,1908.3539728607286,1577.4451812755287,2727.353781350127,2317.931981838414,XGBoost
48,2022-09-01,2072.2963870123735,1612.0938151617822,2727.4472298712394,2371.935164539304,XGBoost
48,2022-10-01,1536.8675446578666,1132.9476849923303,2546.0036579284583,2223.566063975492,XGBoost
48,2022-11-01,1437.3976526469291,1084.448560789622,2536.922446622399,2216.5453511018914,XGBoost
48,2022-12-01,1452.3384894507483,1149.9646962891202,2540.806478894407,2118.596891627053,XGBoost
60,2021-12-01,1572.3894982857805,1351.4932161406414,2767.3767265207957,2521.972791386852,XGBoost
60,2022-01-01,1694.937379554182,1496.6338446871957,2760.1929198920284,2360.1221201040184,XGBoost
60,2022-02-01,1723.970841873094,1473.8813782475079,2555.0765984541717,2231.9409674087437,XGBoost
60,2022-03-01,1609.74469992625,1379.9658589647777,2288.580218645227,1951.78218545883,XGBoost
60,2022-04-01,1713.6466300556876,1423.5279071742164,2197.378271370579,1836.5392186515026,XGBoost
60,2022-05-01,1462.5538705386982,1234.5236029123996,2194.474340471825,1830.7697707991447,XGBoost
60,2022-06-01,1807.955337145488,1551.5999996285245,2203.142984656922,1788.8289507543984,XGBoost
60,2022-07-01,1903.0932205807326,1655.2994731018605,2018.5504346928087,1605.90824785773,XGBoost
60,2022-08-01,1873.6944984088054,1590.9844674883636,2626.1431824847464,2307.9399570988303,XGBoost
60,2022-09-01,1807.992958920917,1464.421634903263,2588.713439582839,2297.210148263262,XGBoost
60,2022-10-01,1524.1693408791853,1129.0425708120201,2605.9717278032767,2254.804410171068,XGBoost
60,2022-11-01,1491.5780127218638,1136.3914653410316,2440.7084838648243,2108.915370474551,XGBoost
60,2022-12-01,1460.703833900973,1162.7458242188077,2485.712275674665,2106.514616236428,XGBoost
