modelo,media_residuo,std_residuo,skewness,kurtosis,min_residuo,max_residuo,shapiro_stat,shapiro_pvalue,normal_5pct,ljungbox_pvalue,autocorr_5pct
CNN,-70134.94807286005,185452.38704906075,0.7036447821309173,-0.26357753351079927,-397405.2243432448,364331.76032442105,0.9244607499409575,0.00010609528784046588,Nao,2.076332777985627e-14,Sim
LSTM,-4150.806464985139,2841.8324583647227,0.32930139186278784,-1.0867383201933134,-9067.011357961292,1561.5200900460222,0.9470585662051015,0.001733091676768426,Nao,8.115438891119603e-58,Sim
INFORMER,-5080.127271579261,2743.4524570345534,0.05028343639396188,-1.2635966728330934,-9698.645147023792,-798.4989356953338,0.9256412711400984,0.00012154328744225779,Nao,1.6917515598839282e-56,Sim
ENSEMBLE,-22683.549277086167,51108.82537111465,0.6753228896360952,-0.24373094442096654,-113736.80025335347,99319.6980970286,0.9331643667045758,0.00029618525582018987,Nao,2.598161920886421e-14,Sim
XGBOOST,-2194.7986523371746,1674.8442304129135,0.32169387827016205,-0.4356659009497519,-5711.768765353439,2080.0025119210222,0.9775784806157172,1.7553742535065027e-06,Nao,1.0243769277414712e-145,Sim
