modelo,RMSE_modelo,RMSE_naive_sazonal,RMSE_persistencia,Skill_vs_Naive_RMSE,Skill_vs_Naive_MAE,Skill_vs_Persist_RMSE
CNN,198271.2757899576,7441.3730920604385,7497.078690091511,-2564.4447649252106,-2283.6425246101485,-2544.647121711583
LSTM,5030.428016697755,7441.3730920604385,7497.078690091511,32.39919629799287,37.974989164492136,32.90149103882018
INFORMER,5773.579866898204,7441.3730920604385,7497.078690091511,22.412439270672824,26.720074596497923,22.98893868449271
ENSEMBLE,55916.504170245564,7441.3730920604385,7497.078690091511,-651.4272363242422,-581.3032931383747,-645.8439010937344
XGBOOST,2760.8412341981025,5452.652659829707,4951.78493707076,49.36700709844358,49.75697789269314,44.24553430159096
